epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,2128.78,0.16429,0.18091,0.21125,0.85096,0,0.96755,0.92822,0.97473,0.96387,0.96755,0.92822,0.97473,0.97327,0.10655,0.09294,0.1593,0.8168,0,0.0010859,0.000361967,0.0010859,0.000361967,0.0010859,0.000361967,0.0010859,0.000361967
65,2161.85,0.16443,0.19797,0.21031,0.86223,0,0.9604,0.96645,0.97674,0.9729,0.9604,0.96645,0.97674,0.97538,0.09938,0.09354,0.11034,0.81616,0,0.00107809,0.000359363,0.00107809,0.000359363,0.00107809,0.000359363,0.00107809,0.000359363
66,2197.49,0.16145,0.23259,0.20089,0.85798,0,0.96789,0.94323,0.97749,0.97349,0.96789,0.94323,0.97749,0.97626,0.09987,0.1161,0.12733,0.8159,0,0.00107028,0.00035676,0.00107028,0.00035676,0.00107028,0.00035676,0.00107028,0.00035676
67,2230.35,0.15939,0.20581,0.20775,0.86464,0,0.96268,0.92266,0.98048,0.97611,0.96268,0.92266,0.98048,0.97968,0.09247,0.20285,0.16053,0.81281,0,0.00106247,0.000354156,0.00106247,0.000354156,0.00106247,0.000354156,0.00106247,0.000354156
68,2262.95,0.16096,0.19239,0.20038,0.85761,0,0.95418,0.94685,0.98048,0.97793,0.95418,0.94685,0.98048,0.97865,0.09871,0.1796,0.14906,0.81398,0,0.00105466,0.000351552,0.00105466,0.000351552,0.00105466,0.000351552,0.00105466,0.000351552
69,2299.44,0.16053,0.17428,0.20931,0.85716,0,0.96777,0.96897,0.97749,0.97246,0.9549,0.95786,0.96185,0.96012,0.09645,0.24422,0.12829,0.81523,0,0.00104685,0.000348948,0.00104685,0.000348948,0.00104685,0.000348948,0.00104685,0.000348948
70,2331.93,0.16339,0.20641,0.20445,0.86759,0,0.96551,0.9587,0.97749,0.9734,0.95261,0.94795,0.96164,0.96004,0.09668,0.20077,0.12213,0.81445,0,0.00103903,0.000346345,0.00103903,0.000346345,0.00103903,0.000346345,0.00103903,0.000346345
71,2364.43,0.16006,0.19327,0.20293,0.85259,0,0.95702,0.94077,0.98048,0.97865,0.95702,0.94077,0.98048,0.97956,0.09506,0.1276,0.15793,0.812,0,0.00103122,0.000343741,0.00103122,0.000343741,0.00103122,0.000343741,0.00103122,0.000343741
72,2397.7,0.15688,0.20183,0.20164,0.85043,0,0.95966,0.93745,0.96228,0.95985,0.94698,0.92637,0.95199,0.95025,0.09625,0.2073,0.18241,0.80948,0,0.00102341,0.000341137,0.00102341,0.000341137,0.00102341,0.000341137,0.00102341,0.000341137
73,2431.15,0.1608,0.20259,0.20089,0.85402,0,0.95366,0.949,0.97861,0.97489,0.95366,0.949,0.97861,0.97763,0.09945,0.12432,0.13863,0.81371,0,0.0010156,0.000338534,0.0010156,0.000338534,0.0010156,0.000338534,0.0010156,0.000338534
74,2464.72,0.1562,0.18906,0.19781,0.85148,0,0.97539,0.95052,0.97861,0.97452,0.97539,0.95052,0.97861,0.97701,0.09263,0.09538,0.1113,0.81199,0,0.00100779,0.00033593,0.00100779,0.00033593,0.00100779,0.00033593,0.00100779,0.00033593
75,2499.55,0.15738,0.18929,0.19649,0.85628,0,0.96808,0.94035,0.97861,0.96972,0.96808,0.94035,0.97861,0.97701,0.09483,0.09835,0.12218,0.81327,0,0.000999979,0.000333326,0.000999979,0.000333326,0.000999979,0.000333326,0.000999979,0.000333326
76,2531.95,0.15732,0.19851,0.19952,0.8538,0,0.9699,0.93839,0.97861,0.97052,0.9699,0.93839,0.97861,0.97015,0.09521,0.30598,0.13254,0.81554,0,0.000992168,0.000330722,0.000992168,0.000330722,0.000992168,0.000330722,0.000992168,0.000330722
77,2565.39,0.14825,0.17088,0.19056,0.8502,0,0.96477,0.93898,0.98048,0.97388,0.96477,0.93898,0.98048,0.97869,0.0906,0.12005,0.10893,0.80877,0,0.000984356,0.000328119,0.000984356,0.000328119,0.000984356,0.000328119,0.000984356,0.000328119
78,2598.12,0.15189,0.17521,0.19007,0.85943,0,0.9675,0.94256,0.98048,0.9772,0.9675,0.94256,0.98048,0.97975,0.09758,0.09121,0.11924,0.81461,0,0.000976545,0.000325515,0.000976545,0.000325515,0.000976545,0.000325515,0.000976545,0.000325515
79,2632.5,0.14917,0.17129,0.18568,0.85609,0,0.966,0.91761,0.98048,0.97356,0.966,0.91761,0.98048,0.97843,0.10215,0.0904,0.1691,0.82029,0,0.000968734,0.000322911,0.000968734,0.000322911,0.000968734,0.000322911,0.000968734,0.000322911
80,2665.71,0.15167,0.18895,0.18481,0.86314,0,0.97156,0.93615,0.97621,0.97241,0.97156,0.93615,0.97621,0.97447,0.09839,0.09288,0.17149,0.8155,0,0.000960923,0.000320308,0.000960923,0.000320308,0.000960923,0.000320308,0.000960923,0.000320308
81,2698.57,0.16099,0.19312,0.18835,0.85909,0,0.95106,0.93451,0.96415,0.96279,0.95106,0.93451,0.96415,0.96279,0.09113,0.13765,0.24142,0.81,0,0.000953112,0.000317704,0.000953112,0.000317704,0.000953112,0.000317704,0.000953112,0.000317704
82,2732.37,0.15628,0.19324,0.19516,0.84603,0,0.96615,0.92047,0.98048,0.97681,0.96615,0.92047,0.98048,0.97875,0.09296,0.1326,0.18983,0.81249,0,0.000945301,0.0003151,0.000945301,0.0003151,0.000945301,0.0003151,0.000945301,0.0003151
83,2767.53,0.15272,0.17629,0.17602,0.85343,0,0.96393,0.93101,0.98048,0.97824,0.96393,0.93101,0.98048,0.97912,0.08857,0.08703,0.13206,0.80605,0,0.00093749,0.000312497,0.00093749,0.000312497,0.00093749,0.000312497,0.00093749,0.000312497
84,2800.02,0.15304,0.17463,0.17849,0.85,0,0.96253,0.93335,0.98048,0.97805,0.96253,0.93335,0.98048,0.97875,0.08738,0.08865,0.14267,0.8092,0,0.000929679,0.000309893,0.000929679,0.000309893,0.000929679,0.000309893,0.000929679,0.000309893
85,2832.95,0.15368,0.18653,0.1869,0.85311,0,0.97585,0.9437,0.98422,0.97835,0.97585,0.9437,0.98422,0.98335,0.0904,0.15503,0.12259,0.81148,0,0.000921868,0.000307289,0.000921868,0.000307289,0.000921868,0.000307289,0.000921868,0.000307289
86,2867.67,0.15278,0.17058,0.18099,0.85399,0,0.95498,0.94811,0.97674,0.96727,0.95498,0.94811,0.97674,0.97568,0.09451,0.08979,0.14247,0.81261,0,0.000914056,0.000304685,0.000914056,0.000304685,0.000914056,0.000304685,0.000914056,0.000304685
87,2900.27,0.15433,0.18292,0.18697,0.84976,0,0.95201,0.94941,0.98048,0.97629,0.95201,0.94941,0.98048,0.97884,0.09153,0.08486,0.12725,0.81004,0,0.000906245,0.000302082,0.000906245,0.000302082,0.000906245,0.000302082,0.000906245,0.000302082
88,2935.1,0.15129,0.18765,0.18792,0.84866,0,0.94751,0.94446,0.98422,0.97548,0.94751,0.94446,0.98422,0.98349,0.09458,0.08633,0.13691,0.81328,0,0.000898434,0.000299478,0.000898434,0.000299478,0.000898434,0.000299478,0.000898434,0.000299478
89,2967.7,0.15275,0.20392,0.1781,0.85032,0,0.9516,0.9507,0.98422,0.97773,0.9516,0.9507,0.98422,0.9833,0.09545,0.08734,0.14533,0.81686,0,0.000890623,0.000296874,0.000890623,0.000296874,0.000890623,0.000296874,0.000890623,0.000296874
90,3000.78,0.15478,0.16783,0.17932,0.85856,0,0.95897,0.95148,0.98422,0.97937,0.95897,0.95148,0.98422,0.98349,0.08957,0.09654,0.13046,0.81275,0,0.000882812,0.000294271,0.000882812,0.000294271,0.000882812,0.000294271,0.000882812,0.000294271
91,3034.24,0.14913,0.16504,0.17418,0.85532,0,0.9577,0.93226,0.98422,0.97753,0.9577,0.93226,0.98422,0.9833,0.08429,0.09036,0.1358,0.80852,0,0.000875001,0.000291667,0.000875001,0.000291667,0.000875001,0.000291667,0.000875001,0.000291667
